name,method,seed,Significance,Coverage (expected 90.0%),Avg. Length,Coverage (expected 92.5%),Coverage (expected 95.0%),Coverage (expected 97.5%)
concrete,CQR Net,19,0.1,90.77669902912622,0.5080250385895516,,,
concrete,CQR Net,18,0.1,90.77669902912622,0.4924078993860957,,,
concrete,CQR Net,17,0.1,87.86407766990291,0.4812547392347484,,,
concrete,CQR Net,16,0.1,91.747572815534,0.5032582891363542,,,
concrete,CQR Net,15,0.1,89.80582524271846,0.502824325295328,,,
concrete,CQR Net,14,0.1,88.3495145631068,0.4769419960098938,,,
concrete,CQR Net,13,0.1,87.37864077669903,0.5241658223919499,,,
concrete,CQR Net,12,0.1,92.71844660194176,0.5207262146241457,,,
concrete,CQR Net,11,0.1,93.20388349514565,1.2210483788648276,,,
concrete,CQR Net,10,0.1,91.747572815534,0.474013545270105,,,
concrete,CQR Net,9,0.1,91.747572815534,0.4691023221872385,,,
concrete,CQR Net,8,0.1,88.3495145631068,0.4580680518185051,,,
concrete,CQR Net,7,0.1,89.80582524271846,0.4508175886082418,,,
concrete,CQR Net,6,0.1,90.29126213592234,0.5429229601060303,,,
concrete,CQR Net,5,0.1,89.32038834951457,0.471357050487428,,,
concrete,CQR Net,4,0.1,90.77669902912622,0.5377585712494781,,,
concrete,CQR Net,3,0.1,89.32038834951457,0.4700092865714749,,,
concrete,CQR Net,2,0.1,88.83495145631069,0.516372588363666,,,
concrete,CQR Net,1,0.1,86.40776699029125,0.4900802679142905,,,
concrete,CQR Net,0,0.1,85.43689320388349,0.4321538050053189,,,
concrete,LWA-Net,19,0.1,89.80582524271846,0.5044599184856832,,,
concrete,LWA-Net,18,0.1,90.77669902912622,0.579299155007867,,,
concrete,LWA-Net,17,0.1,88.83495145631069,0.4606502363548695,,,
concrete,LWA-Net,16,0.1,91.747572815534,0.5399233226492567,,,
concrete,LWA-Net,15,0.1,90.77669902912622,0.5018260488377034,,,
concrete,LWA-Net,14,0.1,90.77669902912622,0.4944473243888142,,,
concrete,LWA-Net,13,0.1,85.43689320388349,0.5426530516842036,,,
concrete,LWA-Net,12,0.1,93.68932038834951,0.5240814172237822,,,
concrete,LWA-Net,11,0.1,91.747572815534,0.4818560530259771,,,
concrete,LWA-Net,10,0.1,92.71844660194176,0.522274362447771,,,
concrete,LWA-Net,9,0.1,87.86407766990291,0.448674696524745,,,
concrete,LWA-Net,8,0.1,86.89320388349515,0.4860710994277185,,,
concrete,LWA-Net,7,0.1,90.77669902912622,0.5226342790190456,,,
concrete,LWA-Net,6,0.1,88.83495145631069,0.5264418465853895,,,
concrete,LWA-Net,5,0.1,91.747572815534,0.5373932940939676,,,
concrete,LWA-Net,4,0.1,88.83495145631069,0.526152218068109,,,
concrete,LWA-Net,3,0.1,90.29126213592234,0.5043999545493172,,,
concrete,LWA-Net,2,0.1,90.77669902912622,0.5366648199778159,,,
concrete,LWA-Net,1,0.1,86.40776699029125,0.501496019004618,,,
concrete,LWA-Net,0,0.1,86.89320388349515,0.4442631077853221,,,
concrete,CQR Net,19,0.075,,0.557172412215506,93.20388349514565,,
concrete,CQR Net,18,0.075,,0.5641165415855866,92.71844660194176,,
concrete,CQR Net,17,0.075,,0.5523712935956936,92.23300970873788,,
concrete,CQR Net,16,0.075,,0.5967124292934404,90.77669902912622,,
concrete,CQR Net,15,0.075,,0.5550355167643538,93.20388349514565,,
