name,method,seed,Significance,Coverage (expected 90.0%),Avg. Length,Coverage (expected 92.5%),Coverage (expected 95.0%),Coverage (expected 97.5%)
bike,CQR Net,19,0.1,90.9090909090909,0.6432796105121573,,,
bike,CQR Net,18,0.1,89.34802571166207,0.6310827194570237,,,
bike,CQR Net,17,0.1,91.50596877869606,0.6881545236619845,,,
bike,CQR Net,16,0.1,88.75114784205694,0.6317808746999084,,,
bike,CQR Net,15,0.1,88.84297520661157,0.6293775334550603,,,
bike,CQR Net,14,0.1,90.54178145087236,0.5883395141465256,,,
bike,CQR Net,13,0.1,90.77134986225896,0.6831406101907703,,,
bike,CQR Net,12,0.1,88.84297520661157,0.6199750213843622,,,
bike,CQR Net,11,0.1,90.22038567493112,0.6218560562281774,,,
bike,CQR Net,10,0.1,91.32231404958677,0.6475841202892884,,,
bike,CQR Net,9,0.1,90.44995408631772,0.6584008715809917,,,
bike,CQR Net,8,0.1,90.44995408631772,0.6530247114614145,,,
bike,CQR Net,7,0.1,90.58769513314968,0.6134773255578141,,,
bike,CQR Net,6,0.1,88.61340679522498,0.6174140896466864,,,
bike,CQR Net,5,0.1,90.31221303948575,0.641481428406705,,,
bike,CQR Net,4,0.1,89.25619834710744,0.6024666861947403,,,
bike,CQR Net,3,0.1,89.62350780532599,0.6348711463098505,,,
bike,CQR Net,2,0.1,89.11845730027548,0.6090544768556939,,,
bike,CQR Net,1,0.1,90.31221303948575,0.6163758263680349,,,
bike,CQR Net,0,0.1,89.11845730027548,0.6522601209974295,,,
bike,LWA-Net,19,0.1,91.1386593204775,0.6475902995619756,,,
bike,LWA-Net,18,0.1,89.02662993572085,0.7006901962337528,,,
bike,LWA-Net,17,0.1,90.95500459136822,0.6829231749002243,,,
bike,LWA-Net,16,0.1,89.85307621671258,0.6523508219641896,,,
bike,LWA-Net,15,0.1,90.35812672176309,0.6869606665888061,,,
bike,LWA-Net,14,0.1,89.71533516988063,0.7565594509986286,,,
bike,LWA-Net,13,0.1,91.23048668503216,0.7304646907788184,,,
bike,LWA-Net,12,0.1,89.07254361799816,0.8072481339774287,,,
bike,LWA-Net,11,0.1,90.44995408631772,0.7613671018465792,,,
bike,LWA-Net,10,0.1,90.81726354453627,0.7414997106461202,,,
bike,LWA-Net,9,0.1,90.31221303948575,0.6981316314594559,,,
bike,LWA-Net,8,0.1,90.03673094582186,0.6347892503078798,,,
bike,LWA-Net,7,0.1,91.55188246097336,0.7017591570245737,,,
bike,LWA-Net,6,0.1,90.40404040404042,0.6723365608014379,,,
bike,LWA-Net,5,0.1,90.8631772268136,0.6586488125994596,,,
bike,LWA-Net,4,0.1,90.03673094582186,0.6812990056739947,,,
bike,LWA-Net,3,0.1,89.76124885215793,0.6847254207846943,,,
bike,LWA-Net,2,0.1,89.11845730027548,0.6311880703647753,,,
bike,LWA-Net,1,0.1,90.17447199265382,0.6744174807100695,,,
bike,LWA-Net,0,0.1,89.62350780532599,0.697298972268783,,,
bike,CQR Net,19,0.075,,0.7364145300724809,93.52617079889806,,
bike,CQR Net,18,0.075,,0.7035774265743512,92.24058769513314,,
bike,CQR Net,17,0.075,,0.7781001380080301,92.69972451790632,,
bike,CQR Net,16,0.075,,0.716633698498938,91.09274563820018,,
bike,CQR Net,15,0.075,,0.7141085305247761,92.51606978879708,,
bike,CQR Net,14,0.075,,0.698259018589054,93.25068870523415,,
bike,CQR Net,13,0.075,,0.7631129285173543,93.66391184573004,,
bike,CQR Net,12,0.075,,0.719995815363132,91.18457300275482,,
bike,CQR Net,11,0.075,,0.7222008173336011,92.42424242424242,,
bike,CQR Net,10,0.075,,0.6875112141801952,93.06703397612488,,
bike,CQR Net,9,0.075,,0.7246898478961783,92.97520661157024,,
bike,CQR Net,8,0.075,,0.7607689423177004,93.29660238751148,,
bike,CQR Net,7,0.075,,0.7153966325297575,92.47015610651974,,
bike,CQR Net,6,0.075,,0.7167235321704815,92.05693296602388,,
bike,CQR Net,5,0.075,,0.7297715888086268,93.38842975206612,,
bike,CQR Net,4,0.075,,0.731698320687238,92.24058769513314,,
bike,CQR Net,3,0.075,,0.7129138129428918,91.55188246097336,,
bike,CQR Net,2,0.075,,0.6942233879604917,91.73553719008264,,
bike,CQR Net,1,0.075,,0.7014282466561506,92.05693296602388,,
bike,CQR Net,0,0.075,,0.7025108390733176,92.24058769513314,,
bike,LWA-Net,19,0.075,,0.7729573296631034,93.48025711662076,,
bike,LWA-Net,18,0.075,,0.7351577711809868,92.51606978879708,,
bike,LWA-Net,17,0.075,,0.7962080640478882,93.80165289256198,,
bike,LWA-Net,16,0.075,,0.7930957939834107,92.01101928374656,,
bike,LWA-Net,15,0.075,,1.5929244080955236,92.65381083562902,,
bike,LWA-Net,14,0.075,,0.8858614172290453,92.8374655647383,,
bike,LWA-Net,13,0.075,,0.7722914721714154,93.98530762167124,,
bike,LWA-Net,12,0.075,,0.898721683759728,91.3682277318641,,
bike,LWA-Net,11,0.075,,0.7535921650210907,93.3425160697888,,
bike,LWA-Net,10,0.075,,0.7742763693359765,93.1129476584022,,
bike,LWA-Net,9,0.075,,0.7562982066713199,92.69972451790632,,
bike,LWA-Net,8,0.075,,0.7762690106529958,93.06703397612488,,
bike,LWA-Net,7,0.075,,0.7164583564988236,92.74563820018363,,
bike,LWA-Net,6,0.075,,0.7282549600866072,92.19467401285584,,
bike,LWA-Net,5,0.075,,0.819351496934357,94.21487603305783,,
bike,LWA-Net,4,0.075,,0.739140502992193,92.69972451790632,,
bike,LWA-Net,3,0.075,,0.7924187054478754,92.47015610651974,,
