name,method,seed,Significance,Coverage (expected 10.0%),Avg. Length,Coverage (expected 7.5%),Coverage (expected 5.0%),Coverage (expected 2.5%)
bike,CQR Net,0,0.9,9.917355371900827,0.1455026814171871,,,
bike,CQR Net,1,0.9,12.029384756657484,0.082338426162936,,,
bike,CQR Net,2,0.9,8.907254361799815,0.1530595149834622,,,
bike,CQR Net,3,0.9,8.907254361799815,0.1153445816620212,,,
bike,CQR Net,4,0.9,10.514233241505968,0.1416422763242428,,,
bike,CQR Net,5,0.9,8.723599632690542,0.1784228425681645,,,
bike,CQR Net,6,0.9,9.090909090909092,0.1397693090763411,,,
bike,CQR Net,7,0.9,8.81542699724518,0.1523519968622534,,,
bike,CQR Net,8,0.9,10.1010101010101,0.1050502875797566,,,
bike,CQR Net,9,0.9,9.641873278236917,0.1360140507980921,,,
bike,CQR Net,10,0.9,9.13682277318641,0.1577670773144048,,,
bike,CQR Net,11,0.9,10.330578512396697,0.1503544826166579,,,
bike,CQR Net,12,0.9,9.550045913682276,0.1246709522848505,,,
bike,CQR Net,13,0.9,9.917355371900827,0.1451072820536689,,,
bike,CQR Net,14,0.9,8.677685950413224,0.1306817510923844,,,
bike,CQR Net,15,0.9,8.907254361799815,0.1486724136658936,,,
bike,CQR Net,16,0.9,9.228650137741049,0.125996818021966,,,
bike,CQR Net,17,0.9,10.238751147842056,0.1684753878659562,,,
bike,CQR Net,18,0.9,9.963269054178143,0.1424723781364789,,,
bike,CQR Net,19,0.9,10.42240587695133,0.1334017080531085,,,
bike,LWA-Net,0,0.9,10.330578512396697,0.1075376738529888,,,
bike,LWA-Net,1,0.9,11.202938475665748,0.1149418438460653,,,
bike,LWA-Net,2,0.9,8.677685950413224,0.1357135769831575,,,
bike,LWA-Net,3,0.9,9.50413223140496,0.1490069668538204,,,
bike,LWA-Net,4,0.9,10.192837465564738,0.1465861200054815,,,
bike,LWA-Net,5,0.9,9.595959595959595,0.1411709916958358,,,
bike,LWA-Net,6,0.9,9.412304866850322,0.1560520256832721,,,
bike,LWA-Net,7,0.9,8.76951331496786,0.1833146428013745,,,
bike,LWA-Net,8,0.9,8.218549127640037,0.1687489969123931,,,
bike,LWA-Net,9,0.9,9.45821854912764,0.1432625114835655,,,
bike,LWA-Net,10,0.9,10.192837465564738,0.165068543072246,,,
bike,LWA-Net,11,0.9,9.82552800734619,0.0999081966127683,,,
bike,LWA-Net,12,0.9,9.687786960514233,0.2017661765477764,,,
bike,LWA-Net,13,0.9,9.641873278236917,0.2085523215576636,,,
bike,LWA-Net,14,0.9,8.402203856749312,0.2142183602718282,,,
bike,LWA-Net,15,0.9,9.45821854912764,0.1395780971227598,,,
bike,LWA-Net,16,0.9,9.641873278236917,0.1190955414136579,,,
bike,LWA-Net,17,0.9,9.82552800734619,0.1238273714007972,,,
bike,LWA-Net,18,0.9,10.330578512396697,0.1828083346492659,,,
bike,LWA-Net,19,0.9,11.616161616161616,0.0934582611937606,,,
bike,CQR Net,0,0.925,,0.2165890634607239,7.575757575757576,,
bike,CQR Net,1,0.925,,0.1903049228824093,8.356290174471992,,
bike,CQR Net,2,0.925,,0.2591130162894561,7.75941230486685,,
bike,CQR Net,3,0.925,,0.2426039556826441,7.7134986225895315,,
bike,CQR Net,4,0.925,,0.2595086417770692,7.851239669421488,,
bike,CQR Net,5,0.925,,0.2458375457014043,7.7134986225895315,,
bike,CQR Net,6,0.925,,0.2592523986451444,6.657483930211202,,
bike,CQR Net,7,0.925,,0.2696822728376743,7.11662075298439,,
bike,CQR Net,8,0.925,,0.2488533438784579,7.07070707070707,,
bike,CQR Net,9,0.925,,0.2933395857160741,6.841138659320478,,
bike,CQR Net,10,0.925,,0.2146468141806355,7.529843893480257,,
bike,CQR Net,11,0.925,,0.2589501855130366,7.988980716253444,,
bike,CQR Net,12,0.925,,0.2464963245599832,7.07070707070707,,
bike,CQR Net,13,0.925,,0.2480668965504736,6.978879706152434,,
bike,CQR Net,14,0.925,,0.3007322665170533,6.014692378328742,,
bike,CQR Net,15,0.925,,0.2461866871056149,6.978879706152434,,
bike,CQR Net,16,0.925,,0.231535940507172,6.6115702479338845,,
bike,CQR Net,17,0.925,,0.284393338542996,7.988980716253444,,
bike,CQR Net,18,0.925,,0.2750013657564193,6.841138659320478,,
bike,CQR Net,19,0.925,,0.2393018745768497,8.861340679522497,,
bike,LWA-Net,0,0.925,,0.267721490905414,8.585858585858585,,
bike,LWA-Net,1,0.925,,0.2076154480678866,9.090909090909092,,
bike,LWA-Net,2,0.925,,0.3068154851458727,6.749311294765841,,
bike,LWA-Net,3,0.925,,0.2686125514729511,6.841138659320478,,
bike,LWA-Net,4,0.925,,0.2251953878486999,8.402203856749312,,
bike,LWA-Net,5,0.925,,0.3372334160040671,8.44811753902663,,
bike,LWA-Net,6,0.925,,0.3292861762016163,6.290174471992654,,
bike,LWA-Net,7,0.925,,0.2365910385293189,7.300275482093664,,
bike,LWA-Net,8,0.925,,0.2772737523905173,7.07070707070707,,
bike,LWA-Net,9,0.925,,0.3466822441780205,7.851239669421488,,
bike,LWA-Net,10,0.925,,0.244957442755432,7.851239669421488,,
bike,LWA-Net,11,0.925,,0.3203792373613002,8.218549127640037,,
bike,LWA-Net,12,0.925,,0.253721151319636,8.402203856749312,,
bike,LWA-Net,13,0.925,,0.2769535966046476,6.978879706152434,,
bike,LWA-Net,14,0.925,,0.2375131011337616,6.887052341597796,,
bike,LWA-Net,15,0.925,,0.1713991440743673,7.943067033976126,,
bike,LWA-Net,16,0.925,,0.2027754659659278,7.529843893480257,,
bike,LWA-Net,17,0.925,,0.322309427928005,8.034894398530762,,
bike,LWA-Net,18,0.925,,0.3120327965314504,7.392102846648302,,
bike,LWA-Net,19,0.925,,0.2649238834395334,7.897153351698806,,
bike,CQR Net,0,0.95,,0.4281836488002807,,5.234159779614325,
bike,CQR Net,1,0.95,,0.3649065789002908,,6.244260789715335,
bike,CQR Net,2,0.95,,0.502872832783107,,4.637281910009182,
bike,CQR Net,3,0.95,,0.5980856581441408,,5.05050505050505,
bike,CQR Net,4,0.95,,0.4118217334383884,,5.371900826446281,
bike,CQR Net,5,0.95,,0.5015585130786984,,5.142332415059688,
bike,CQR Net,6,0.95,,0.4597335427424796,,4.637281910009182,
bike,CQR Net,7,0.95,,0.5631176185536757,,3.39761248852158,
bike,CQR Net,8,0.95,,0.514592800819622,,4.912764003673095,
bike,CQR Net,9,0.95,,0.5171116184378239,,6.014692378328742,
bike,CQR Net,10,0.95,,0.51511005498982,,4.637281910009182,
bike,CQR Net,11,0.95,,0.5998352466098096,,5.234159779614325,
bike,CQR Net,12,0.95,,0.4065960674958014,,5.096418732782369,
bike,CQR Net,13,0.95,,0.5473605081699002,,4.315886134067952,
bike,CQR Net,14,0.95,,0.4858386520949715,,3.1680440771349865,
bike,CQR Net,15,0.95,,0.4736791307823279,,5.5096418732782375,
bike,CQR Net,16,0.95,,0.5566549205364055,,4.224058769513315,
bike,CQR Net,17,0.95,,0.4792574293384648,,5.876951331496786,
bike,CQR Net,18,0.95,,0.4159113264910336,,5.280073461891643,
bike,CQR Net,19,0.95,,0.3790695145520953,,5.968778696051423,
bike,LWA-Net,0,0.95,,0.4459073393852805,,5.417814508723599,
bike,LWA-Net,1,0.95,,0.4637162833995398,,5.968778696051423,
bike,LWA-Net,2,0.95,,0.4171371462971273,,4.912764003673095,
bike,LWA-Net,3,0.95,,0.512612542474456,,4.958677685950414,
bike,LWA-Net,4,0.95,,0.4315506536496463,,5.325987144168963,
bike,LWA-Net,5,0.95,,0.3725414027086193,,4.912764003673095,
bike,LWA-Net,6,0.95,,0.4584415431713379,,4.545454545454546,
bike,LWA-Net,7,0.95,,0.4944212484704561,,4.453627180899908,
bike,LWA-Net,8,0.95,,0.5043937006163094,,4.775022956841139,
bike,LWA-Net,9,0.95,,0.5130956902128496,,5.831037649219467,
bike,LWA-Net,10,0.95,,0.4895077412888147,,5.280073461891643,
bike,LWA-Net,11,0.95,,0.4104115341211044,,5.371900826446281,
bike,LWA-Net,12,0.95,,0.5009369584838659,,4.820936639118457,
bike,LWA-Net,13,0.95,,0.4353496308196455,,5.555555555555555,
bike,LWA-Net,14,0.95,,0.4405837423271603,,4.315886134067952,
bike,LWA-Net,15,0.95,,0.4836116939427329,,4.40771349862259,
bike,LWA-Net,16,0.95,,0.5026103330791489,,4.866850321395775,
bike,LWA-Net,17,0.95,,0.5674084356145316,,4.820936639118457,
bike,LWA-Net,18,0.95,,0.5213411719674249,,6.290174471992654,
bike,LWA-Net,19,0.95,,0.4348953181691297,,5.785123966942149,
bike,CQR Net,0,0.975,,0.7965432203368816,,,2.8925619834710745
bike,CQR Net,1,0.975,,0.7384097838724721,,,2.6629935720844813
bike,CQR Net,2,0.975,,1.0452546365935391,,,2.479338842975207
bike,CQR Net,3,0.975,,1.101879711869225,,,2.2497704315886136
bike,CQR Net,4,0.975,,0.9651121586643304,,,2.938475665748393
bike,CQR Net,5,0.975,,0.8909388529367683,,,2.8925619834710745
bike,CQR Net,6,0.975,,1.0955716037936338,,,2.203856749311295
bike,CQR Net,7,0.975,,0.9668880665625204,,,1.5610651974288337
bike,CQR Net,8,0.975,,0.9645376747031076,,,2.295684113865932
