name,method,Coverage (expected 90.0%),Avg. Length,seed
concrete,CQR Net,87.86407766990291,0.4244523890388822,0
concrete,LWA-Net,91.747572815534,0.494399287457605,0
concrete,CQR Net,87.86407766990291,0.4244523890388822,0
concrete,CQR Net,86.40776699029125,0.433116167277387,1
concrete,CQR Net,88.83495145631069,0.5094284011611661,2
concrete,CQR Net,90.29126213592234,0.4634135575259773,3
concrete,CQR Net,91.2621359223301,0.490232123477945,4
concrete,CQR Net,88.83495145631069,0.4466020504681809,5
concrete,CQR Net,90.29126213592234,0.5308144212637133,6
concrete,CQR Net,89.32038834951457,0.4653713517252681,7
concrete,CQR Net,86.89320388349515,0.4688329855793888,8
concrete,CQR Net,86.89320388349515,0.4373758243559633,9
concrete,CQR Net,90.77669902912622,0.4647909138098504,10
concrete,CQR Net,90.77669902912622,0.5210145086918062,11
concrete,CQR Net,92.23300970873788,0.4801670754852804,12
concrete,CQR Net,88.83495145631069,0.5631436860387765,13
concrete,CQR Net,91.2621359223301,0.4751606578531774,14
concrete,CQR Net,91.2621359223301,0.509669670129864,15
concrete,CQR Net,91.747572815534,0.5083340412204705,16
concrete,CQR Net,86.40776699029125,0.4109093963521198,17
concrete,CQR Net,89.32038834951457,0.4880295416105141,18
concrete,CQR Net,91.2621359223301,0.5003614636879523,19
concrete,LWA-Net,86.89320388349515,0.4442631077853221,0
concrete,LWA-Net,86.40776699029125,0.501496019004618,1
concrete,LWA-Net,90.77669902912622,0.5366648199778159,2
concrete,LWA-Net,90.29126213592234,0.5043999545493172,3
concrete,LWA-Net,88.83495145631069,0.526152218068109,4
concrete,LWA-Net,91.747572815534,0.5373932940939676,5
concrete,LWA-Net,88.83495145631069,0.5264418465853895,6
concrete,LWA-Net,90.77669902912622,0.5226342790190456,7
concrete,LWA-Net,86.89320388349515,0.4860710994277185,8
concrete,LWA-Net,87.86407766990291,0.448674696524745,9
concrete,LWA-Net,92.71844660194176,0.522274362447771,10
concrete,LWA-Net,91.747572815534,0.4818560530259771,11
concrete,LWA-Net,93.68932038834951,0.5240814172237822,12
concrete,LWA-Net,85.43689320388349,0.5426530516842036,13
concrete,LWA-Net,90.77669902912622,0.4944473243888142,14
concrete,LWA-Net,90.77669902912622,0.5018260488377034,15
concrete,LWA-Net,91.747572815534,0.5399233226492567,16
concrete,LWA-Net,88.83495145631069,0.46065023635486957,17
