name,method,Coverage (expected 90.0%),Avg. Length,seed
concrete,CQR Net,87.86407766990291,0.4244523890388822,0
concrete,LWA-Net,91.747572815534,0.494399287457605,0
concrete,CQR Net,87.86407766990291,0.4244523890388822,0
concrete,CQR Net,86.40776699029125,0.433116167277387,1
concrete,CQR Net,88.83495145631069,0.5094284011611661,2
concrete,CQR Net,90.29126213592234,0.4634135575259773,3
concrete,CQR Net,91.2621359223301,0.490232123477945,4
concrete,CQR Net,88.83495145631069,0.4466020504681809,5
concrete,CQR Net,90.29126213592234,0.5308144212637133,6
concrete,CQR Net,89.32038834951457,0.4653713517252681,7
concrete,CQR Net,86.89320388349515,0.4688329855793888,8
concrete,CQR Net,86.89320388349515,0.4373758243559633,9
concrete,CQR Net,90.77669902912622,0.4647909138098504,10
concrete,CQR Net,90.77669902912622,0.5210145086918062,11
concrete,CQR Net,92.23300970873788,0.4801670754852804,12
concrete,CQR Net,88.83495145631069,0.5631436860387765,13
concrete,CQR Net,91.2621359223301,0.4751606578531774,14
concrete,CQR Net,91.2621359223301,0.509669670129864,15
concrete,CQR Net,91.747572815534,0.5083340412204705,16
concrete,CQR Net,86.40776699029125,0.4109093963521198,17
concrete,CQR Net,89.32038834951457,0.4880295416105141,18
concrete,CQR Net,91.2621359223301,0.5003614636879523,19
concrete,LWA-Net,86.89320388349515,0.4442631077853221,0
concrete,LWA-Net,86.40776699029125,0.501496019004618,1
concrete,LWA-Net,90.77669902912622,0.5366648199778159,2
concrete,LWA-Net,90.29126213592234,0.5043999545493172,3
concrete,LWA-Net,88.83495145631069,0.526152218068109,4
concrete,LWA-Net,91.747572815534,0.5373932940939676,5
concrete,LWA-Net,88.83495145631069,0.5264418465853895,6
concrete,LWA-Net,90.77669902912622,0.5226342790190456,7
concrete,LWA-Net,86.89320388349515,0.4860710994277185,8
concrete,LWA-Net,87.86407766990291,0.448674696524745,9
concrete,LWA-Net,92.71844660194176,0.522274362447771,10
concrete,LWA-Net,91.747572815534,0.4818560530259771,11
concrete,LWA-Net,93.68932038834951,0.5240814172237822,12
concrete,LWA-Net,85.43689320388349,0.5426530516842036,13
concrete,LWA-Net,90.77669902912622,0.4944473243888142,14
concrete,LWA-Net,90.77669902912622,0.5018260488377034,15
concrete,LWA-Net,91.747572815534,0.5399233226492567,16
concrete,LWA-Net,88.83495145631069,0.4606502363548695,17
concrete,LWA-Net,90.77669902912622,0.579299155007867,18
concrete,LWA-Net,89.80582524271846,0.5044599184856832,19
concrete,CQR Net,88.83495145631069,0.4287118993482543,0
concrete,LWA-Net,89.32038834951457,0.4484204518997553,0
concrete,CQR Net,88.83495145631069,0.4287118993482543,0
concrete,CQR Net,89.32038834951457,0.4647831188388241,1
concrete,CQR Net,88.83495145631069,0.5055659959472499,2
concrete,CQR Net,90.77669902912622,0.4940670701195893,3
concrete,CQR Net,92.71844660194176,0.4572824176798746,4
concrete,CQR Net,87.86407766990291,0.4612069137177421,5
concrete,CQR Net,90.29126213592234,0.5347795877786516,6
concrete,CQR Net,89.80582524271846,0.4881218664565133,7
concrete,CQR Net,87.37864077669903,0.4751197268951286,8
concrete,CQR Net,86.89320388349515,0.425498064571214,9
concrete,CQR Net,92.23300970873788,0.4502971994790058,10
concrete,CQR Net,93.68932038834951,0.649797171860644,11
concrete,CQR Net,90.77669902912622,0.4773172211010479,12
concrete,CQR Net,86.89320388349515,0.5342538058034425,13
concrete,CQR Net,90.29126213592234,0.4628274932648372,14
concrete,CQR Net,92.71844660194176,0.5234400945381054,15
concrete,CQR Net,90.29126213592234,0.5039086982029156,16
concrete,CQR Net,90.77669902912622,0.416035379599599,17
concrete,CQR Net,89.80582524271846,0.4906313904714816,18
concrete,CQR Net,91.2621359223301,0.4922007745475445,19
concrete,LWA-Net,89.32038834951457,0.4484204518997553,0
concrete,LWA-Net,89.80582524271846,0.4585761963163764,1
concrete,LWA-Net,90.77669902912622,0.5183900337196091,2
concrete,LWA-Net,89.32038834951457,0.4920321221924522,3
concrete,LWA-Net,90.29126213592234,0.4683175898582032,4
concrete,LWA-Net,89.80582524271846,0.4791861039052889,5
concrete,LWA-Net,89.80582524271846,0.5379443855829609,6
concrete,LWA-Net,89.80582524271846,0.5068478831677761,7
concrete,LWA-Net,91.2621359223301,0.5388257191019151,8
concrete,LWA-Net,86.40776699029125,0.3941173907911893,9
concrete,LWA-Net,94.66019417475728,0.4955266666354485,10
concrete,LWA-Net,92.23300970873788,0.4438415851118495,11
concrete,LWA-Net,89.80582524271846,0.4535177236477148,12
concrete,LWA-Net,86.89320388349515,0.5133325067683331,13
concrete,LWA-Net,90.29126213592234,0.4933115417517504,14
concrete,LWA-Net,90.77669902912622,0.4770005070468754,15
concrete,LWA-Net,88.83495145631069,0.4918251366001888,16
concrete,LWA-Net,87.86407766990291,0.4402960522950274,17
concrete,LWA-Net,92.23300970873788,0.5011238019587925,18
concrete,LWA-Net,91.2621359223301,0.485709227983234,19
