name,method,seed,Significance,Coverage (expected 10.0%),Avg. Length,Coverage (expected 7.5%),Coverage (expected 5.0%),Coverage (expected 2.5%)
concrete,CQR Net,0,0.9,6.796116504854369,0.033575907204915,,,
concrete,CQR Net,1,0.9,16.990291262135923,0.070774815614941,,,
concrete,CQR Net,2,0.9,9.223300970873789,0.003637333807436,,,
concrete,CQR Net,3,0.9,8.737864077669903,0.0170862291333744,,,
concrete,CQR Net,4,0.9,12.62135922330097,0.054694395620846,,,
concrete,CQR Net,5,0.9,5.825242718446602,0.0143268649439209,,,
concrete,CQR Net,6,0.9,12.135922330097088,0.0305019644568267,,,
concrete,CQR Net,7,0.9,8.737864077669903,0.0141034166789749,,,
concrete,CQR Net,8,0.9,6.310679611650485,0.0218605287734744,,,
concrete,CQR Net,9,0.9,8.737864077669903,0.0079711244522946,,,
concrete,CQR Net,10,0.9,17.475728155339805,0.0138351727747222,,,
concrete,CQR Net,11,0.9,12.135922330097088,0.0237175472153043,,,
concrete,CQR Net,12,0.9,6.310679611650485,0.0087952677486012,,,
concrete,CQR Net,13,0.9,5.339805825242718,0.0134943001767964,,,
concrete,CQR Net,14,0.9,6.796116504854369,0.0470200319891994,,,
concrete,CQR Net,15,0.9,8.25242718446602,0.0074801627293373,,,
concrete,CQR Net,16,0.9,8.737864077669903,0.0052545673928214,,,
concrete,CQR Net,17,0.9,7.766990291262135,0.0537594917040426,,,
concrete,CQR Net,18,0.9,11.165048543689322,0.0178407212194887,,,
concrete,CQR Net,19,0.9,6.310679611650485,0.0357308908573632,,,
concrete,LWA-Net,0,0.9,8.25242718446602,0.0312932648705047,,,
concrete,LWA-Net,1,0.9,18.932038834951456,0.0367164287752318,,,
concrete,LWA-Net,2,0.9,10.679611650485436,0.0130722422912282,,,
concrete,LWA-Net,3,0.9,9.70873786407767,0.0262655256297981,,,
concrete,LWA-Net,4,0.9,10.194174757281552,0.0053325188391416,,,
concrete,LWA-Net,5,0.9,8.737864077669903,0.0158264236253442,,,
concrete,LWA-Net,6,0.9,10.194174757281552,0.023638996539764,,,
