name,method,Coverage (expected 90.0%),Avg. Length,seed
concrete,CQR Net,85.43689320388349,0.4321538050053189,0
concrete,CQR Net,86.40776699029125,0.4900802679142905,1
concrete,CQR Net,88.83495145631069,0.516372588363666,2
concrete,CQR Net,89.32038834951457,0.4700092865714749,3
concrete,CQR Net,90.77669902912622,0.5377585712494781,4
concrete,CQR Net,89.32038834951457,0.471357050487428,5
concrete,CQR Net,90.29126213592234,0.5429229601060303,6
concrete,CQR Net,89.80582524271846,0.4508175886082418,7
concrete,CQR Net,88.3495145631068,0.4580680518185051,8
concrete,CQR Net,91.747572815534,0.4691023221872385,9
concrete,CQR Net,91.747572815534,0.474013545270105,10
concrete,CQR Net,93.20388349514565,1.2210483788648276,11
concrete,CQR Net,92.71844660194176,0.5207262146241457,12
concrete,CQR Net,87.37864077669903,0.5241658223919499,13
concrete,CQR Net,88.3495145631068,0.4769419960098938,14
concrete,CQR Net,89.80582524271846,0.502824325295328,15
concrete,CQR Net,91.747572815534,0.5032582891363542,16
concrete,CQR Net,87.86407766990291,0.4812547392347484,17
concrete,CQR Net,90.77669902912622,0.4924078993860957,18
concrete,CQR Net,90.77669902912622,0.5080250385895516,19
