name,method,seed,Significance,Coverage (expected 93.0%),Avg. Length,Coverage (expected 96.0%),Coverage (expected 99.0%)
blog_data,CQR Net,19,0.07,92.67175572519083,3.179038051516795,,
blog_data,CQR Net,18,0.07,93.46374045801528,3.124198363293389,,
blog_data,CQR Net,17,0.07,93.51145038167938,2.687086354073791,,
blog_data,CQR Net,16,0.07,93.33969465648856,3.3669845380407994,,
blog_data,CQR Net,15,0.07,93.14885496183206,2.5350515214043834,,
blog_data,CQR Net,14,0.07,93.22519083969466,2.4592459815589867,,
blog_data,CQR Net,13,0.07,93.08206106870227,2.637994500761496,,
blog_data,CQR Net,12,0.07,93.25381679389312,3.778846166559845,,
blog_data,CQR Net,11,0.07,93.54007633587788,2.515746806317386,,
blog_data,CQR Net,10,0.07,94.03625954198472,2.7270092762526805,,
blog_data,CQR Net,9,0.07,93.37786259541984,2.457069763337895,,
blog_data,CQR Net,8,0.07,93.2824427480916,3.386098770717628,,
blog_data,CQR Net,7,0.07,93.24427480916032,2.987600941567873,,
blog_data,CQR Net,6,0.07,93.29198473282445,2.761993722447002,,
blog_data,CQR Net,5,0.07,93.17748091603052,2.8645302778891937,,
blog_data,CQR Net,4,0.07,93.77862595419847,3.0352926073339948,,
blog_data,CQR Net,3,0.07,93.06297709923663,2.4272135530420726,,
blog_data,CQR Net,2,0.07,93.74045801526718,2.473552193227473,,
blog_data,CQR Net,1,0.07,93.17748091603052,2.4939356109198494,,
blog_data,CQR Net,0,0.07,94.12213740458016,2.842895255737604,,
blog_data,CQR Net,19,0.04,,4.254959712621138,96.18320610687024,
blog_data,CQR Net,18,0.04,,4.21108648006072,96.04007633587788,
blog_data,CQR Net,17,0.04,,4.236951400366619,95.9351145038168,
blog_data,CQR Net,16,0.04,,3.4275400911038387,95.8969465648855,
blog_data,CQR Net,15,0.04,,3.708928924675974,95.6965648854962,
blog_data,CQR Net,14,0.04,,4.991276670892133,96.31679389312976,
blog_data,CQR Net,13,0.04,,4.356052418842997,96.54580152671755,
blog_data,CQR Net,12,0.04,,4.609591230036307,96.36450381679388,
blog_data,CQR Net,11,0.04,,3.698486199447501,95.9446564885496,
blog_data,CQR Net,10,0.04,,3.9403054036939418,95.64885496183206,
blog_data,CQR Net,9,0.04,,4.704318146928007,96.39312977099236,
blog_data,CQR Net,8,0.04,,5.292652648545176,96.19274809160304,
blog_data,CQR Net,7,0.04,,4.119519280389179,96.29770992366412,
blog_data,CQR Net,6,0.04,,3.310843224775132,95.88740458015266,
blog_data,CQR Net,5,0.04,,4.176064663570915,95.90648854961832,
blog_data,CQR Net,4,0.04,,3.845582133925428,96.20229007633588,
blog_data,CQR Net,3,0.04,,3.714793830967814,96.0973282442748,
blog_data,CQR Net,2,0.04,,4.1415322245816695,96.65076335877862,
blog_data,CQR Net,1,0.04,,4.07014630897582,96.37404580152672,
blog_data,CQR Net,0,0.04,,4.099739990905922,95.73473282442748,
blog_data,CQR Net,19,0.01,,8.773329648841884,,98.95038167938932
blog_data,CQR Net,18,0.01,,8.498842484583609,,98.912213740458
blog_data,CQR Net,17,0.01,,9.498554212366807,,98.94083969465647
blog_data,CQR Net,16,0.01,,8.447150234912188,,98.97900763358778
blog_data,CQR Net,15,0.01,,11.072725228429416,,99.00763358778626
blog_data,CQR Net,14,0.01,,8.503915902602536,,98.9026717557252
blog_data,CQR Net,13,0.01,,9.195409595408968,,99.09351145038168
blog_data,CQR Net,12,0.01,,9.27507811500371,,98.9885496183206
blog_data,CQR Net,11,0.01,,8.101061373580254,,99.09351145038168
blog_data,CQR Net,10,0.01,,9.481444275733226,,98.64503816793894
blog_data,CQR Net,9,0.01,,9.490589881273172,,99.16984732824427
blog_data,CQR Net,8,0.01,,8.753101049016678,,99.00763358778626
blog_data,CQR Net,7,0.01,,9.202961619528018,,98.87404580152672
blog_data,CQR Net,6,0.01,,9.793187752249471,,98.96946564885496
blog_data,CQR Net,5,0.01,,9.404989643508696,,99.07442748091604
blog_data,CQR Net,4,0.01,,10.34626183290006,,99.09351145038168
blog_data,CQR Net,3,0.01,,9.123721552759635,,99.07442748091604
blog_data,CQR Net,2,0.01,,11.191705256996263,,99.09351145038168
blog_data,CQR Net,1,0.01,,9.59875887771144,,99.02671755725191
blog_data,CQR Net,0,0.01,,11.91938529322848,,99.11259541984732
blog_data,LWA-Net,19,0.07,92.8912213740458,3.144492981597099,,
blog_data,LWA-Net,18,0.07,93.26335877862594,2.419690038201236,,
blog_data,LWA-Net,17,0.07,93.11068702290076,2.435633396835045,,
blog_data,LWA-Net,16,0.07,93.48282442748092,2.475474555122147,,
blog_data,LWA-Net,15,0.07,93.08206106870227,2.14662736967661,,
blog_data,LWA-Net,14,0.07,93.043893129771,2.444180582190743,,
blog_data,LWA-Net,13,0.07,93.11068702290076,2.542095663023132,,
blog_data,LWA-Net,12,0.07,93.52099236641222,2.198094194513241,,
blog_data,LWA-Net,11,0.07,93.3969465648855,2.775509928041742,,
blog_data,LWA-Net,10,0.07,92.95801526717555,2.526025279719411,,
blog_data,LWA-Net,9,0.07,93.57824427480917,2.88685445741729,,
blog_data,LWA-Net,8,0.07,93.52099236641222,2.931233951244645,,
blog_data,LWA-Net,7,0.07,93.48282442748092,2.432184492859222,,
blog_data,LWA-Net,6,0.07,92.84351145038168,2.498634604347571,,
blog_data,LWA-Net,5,0.07,93.587786259542,2.389178114105727,,
blog_data,LWA-Net,4,0.07,93.32061068702288,3.090932123175332,,
blog_data,LWA-Net,3,0.07,93.22519083969466,2.18847504524898,,
